location,query,title,url,followers
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9650180151710513/,23000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/8999190326809502/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9635090933219435/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9612773855451143/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/8982357878492747/,93000
Buzau,esti din,"Alcatel, 70 de lei",https://www.facebook.com/groups/314710896781426/posts/1092441582341683/,19000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9137355902992943/,30000
Buzau,esti din,"Știe cineva un pediatru bun ,în Buzău?",https://www.facebook.com/groups/314710896781426/posts/%C8%99tie-cineva-un-pediatru-bun-%C3%AEn-buz%C4%83u/1023309102588265/,19000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9105414779520389/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9188324054562794/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/9640556479339547/,30000
Buzau,esti din,"Bună! Caut de muncă în orice domeniu, am experiență. Vă rog ...",https://www.facebook.com/groups/314710896781426/posts/1093149448937563/,19000
Buzau,esti din,Întrați pe link și dați un like va rog frumos ❤️,https://www.facebook.com/groups/625200794208539/posts/9097441330317734/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/8984303871631481/,30000
Buzau,esti din,Ești din Buzău dacă... | Facebook,https://www.facebook.com/groups/625200794208539/posts/8984303871631481/,30000
Buzau,vanzari,Vanzari online BUZAU by AutoCLAB,https://www.facebook.com/groups/464196696952581/,60000
Buzau,vanzari,VAND-CUMPAR BUZAU,https://www.facebook.com/groups/1964635230426678/,11000
Buzau,vanzari,Mămici din ‍ Buzau si Judetul Buzau ‍ ‍ ,https://www.facebook.com/groups/314710896781426/,11000
Buzau,vanzari,Lemne de foc stejar pentru comenzi 0741036209 transport la ...,https://www.facebook.com/groups/1665795846828007/posts/27649085444739025/,29000
Buzau,vanzari,Deșeuri de fag paletizate pret 350 Ron pentru comenzi ...,https://www.facebook.com/groups/1665795846828007/posts/27649145644733005/,11000
Buzau,vanzari,Talcioc Buzău,https://www.facebook.com/groups/1231222654090726/,22000
Buzau,vanzari,ÎNCHIRIEZ APARTAMENT CU DOUA CAMERE MOBILAT ȘI ...,https://www.facebook.com/groups/imobiliarebuzau/posts/7574880769254761/,11000
Buzau,vanzari,IMOBILIARE BUZAU (VANZARI/CUMPARARI/INCHIRIERI) | Facebook,https://www.facebook.com/groups/imobiliarebuzau/posts/9324759280933559/,60000
Buzau,vanzari,Purcei de vanzare 5saptamani | Facebook,https://www.facebook.com/groups/693498231393579/posts/1004971376912928/,11000
Buzau,vanzari,Lemne de foc stejar pentru comenzi 0741036209 transport la ...,https://www.facebook.com/groups/1665795846828007/posts/27649085444739025/,29000
Buzau,vanzari,"Cumpăr apart. 2 camere în Buzau, parter, etaje 1-2, minim 45 mp ...",https://www.facebook.com/groups/imobiliarebuzau/posts/8754488064627353/,19000
Buzau,vanzari,Porci de vânzare la rm Sărat dela 100 până la 150 preț 12 lei kg ...,https://www.facebook.com/groups/693498231393579/posts/1825215598221831/,75000
